actor_clean,actor_clean_lower,left,right,centre,unknown
Independent Politicians (Italy),independent politicians (italy),0,0,0,1
FN: New Force,fn: new force,0,1,0,0
FdI: Brothers of Italy,fdi: brothers of italy,0,1,0,0
FI: Forward Italy,fi: forward italy,0,1,0,0
CGIL: Italian General Confederation of Labor,cgil: italian general confederation of labor,1,0,0,0
Civilians (Italy),civilians (italy),0,0,0,1
UGL: General Labor Union,ugl: general labor union,0,1,0,0
UIL: Italian Labor Union,uil: italian labor union,1,0,0,0
RSU: Unified Trade Union Representatives,rsu: unified trade union representatives,0,0,0,1
Gilda,gilda,0,0,0,1
SNALS-CONFSAL: National Autonomous School Workers' Trade Union,snals-confsal: national autonomous school workers' trade union,0,0,0,1
AU: Article One,au: article one,1,0,0,0
Determined Researchers,determined researchers,1,0,0,0
LINK - University Network,link - university network,1,0,0,0
Journalists (Italy),journalists (italy),0,0,0,1
High School Students' Network,high school students' network,1,0,0,0
Labor Group (International),labor group (international),0,0,0,1
ALIUD - Identitary Right,aliud - identitary right,0,1,0,0
More Europe,more europe,0,0,1,0
Orthodox Christian Group (Italy),orthodox christian group (italy),0,0,0,1
Muslim Group (Italy),muslim group (italy),0,0,0,1
Sikh Group (Italy),sikh group (italy),0,0,0,1
Farmers (International),farmers (international),0,0,0,1
CONFARCA: Confederation of United Driving Schools and Automotive Consultants and Nautical Schools,confarca: confederation of united driving schools and automotive consultants and nautical schools,0,0,0,1
Vox Italy,vox italy,0,1,0,0
ANAAO-ASSOMED: Association of Medical Directors,anaao-assomed: association of medical directors,0,0,0,1
Palestinian Group (Italy),palestinian group (italy),0,0,0,1
PC: Communist Party,pc: communist party,1,0,0,0
Bangladeshi Group (Italy),bangladeshi group (italy),0,0,0,1
Labor Group (Bangladesh),labor group (bangladesh),0,0,0,1
Migrants (Bangladesh),migrants (bangladesh),0,0,0,1
IV: Italy Alive,iv: italy alive,0,0,1,0
Forum for the Right to Health,forum for the right to health,1,0,0,0
MD: Democratic Medicine,md: democratic medicine,0,0,0,1
Pro Life and Family,pro life and family,0,1,0,0
Standing Sentinels,standing sentinels,0,1,0,0
ACLI: Christian Associations of Italian Workers,acli: christian associations of italian workers,0,0,1,0
Article 21,article 21,0,0,0,1
GD: Democratic Lawyers,gd: democratic lawyers,1,0,0,0
Legacoop: The National League of Cooperatives and Mutuals,legacoop: the national league of cooperatives and mutuals,0,1,0,0
MSF: Doctors Without Borders,msf: doctors without borders,1,0,0,0
BS: Students' Block,bs: students' block,0,1,0,0
ActionAid,actionaid,0,0,1,0
NIBI: Neri Italiani - Black Italians,nibi: neri italiani - black italians,1,0,0,0
Confesercenti,confesercenti,0,0,0,1
ENPA: National Authority for Animal Protection,enpa: national authority for animal protection,1,0,0,0
Confintesa,confintesa,0,0,0,1
CONFSAL: Workers Autonomous Trade Unions Confederation,confsal: workers autonomous trade unions confederation,0,0,0,1
FLP: Federation of Public Workers and Public Offices,flp: federation of public workers and public offices,0,0,0,1
For a Caring Society,for a caring society,1,0,0,0
FABI: Independent Federation of Italian Bank Workers,fabi: independent federation of italian bank workers,0,0,0,1
Youth League,youth league,0,1,0,0
Cuban Group (Italy),cuban group (italy),0,0,0,1
Kurdish Ethnic Group (Italy),kurdish ethnic group (italy),0,0,0,1
International Women House,international women house,1,0,0,0
FNSI: Italian Journalists Union,fnsi: italian journalists union,0,0,0,1
National Nurses Movement,national nurses movement,0,0,0,1
No TAP,no tap,1,0,0,0
FIALS: Italian Autonomous Federation of Healthcare Workers,fials: italian autonomous federation of healthcare workers,0,0,0,1
CNA: Italian Confederation of Craft Trades and Small and Medium Enterprises,cna: italian confederation of craft trades and small and medium enterprises,0,0,0,1
Confartigianato,confartigianato,0,0,0,1
LeG: Freedom and Justice,leg: freedom and justice,0,0,0,1
Si TAV Movement,si tav movement,0,0,0,1
EU: European Union,eu: european union,0,0,0,1
Italian Alliance Stop 5G,italian alliance stop 5g,0,0,0,1
CAI: Italian Alpine Club,cai: italian alpine club,0,0,0,1
XR: Extinction Rebellion,xr: extinction rebellion,1,0,0,0
SAPPE: Autonomous Union of Prison Police,sappe: autonomous union of prison police,0,0,0,1
USPP: Union of Prison Police Unions,uspp: union of prison police unions,0,0,0,1
WWF: World Wildlife Fund,wwf: world wildlife fund,1,0,0,0
National Youth,national youth,0,1,0,0
ANA: National Association of Street Vendors,ana: national association of street vendors,0,0,0,1
Fishers (Italy),fishers (italy),0,0,0,1
FIADEL: Italian Federation of Local Authorities,fiadel: italian federation of local authorities,0,0,0,1
Prisoners (Tunisia),prisoners (tunisia),0,0,0,1
Refugees/IDPs (Tunisia),refugees/idps (tunisia),0,0,0,1
AADI: Association of Nurses' Advocacy,aadi: association of nurses' advocacy,1,0,0,0
Changing Nurses,changing nurses,0,0,0,1
COINA: Autonomous Nursing Coordination,coina: autonomous nursing coordination,0,0,0,1
Nursing Up,nursing up,0,0,0,1
FDV: Federation of the Greens,fdv: federation of the greens,1,0,0,0
Zero Waste Europe,zero waste europe,1,0,0,0
Government of Cape Verde (2011-2021),government of cape verde (2011-2021),0,0,0,1
Protesters (Cape Verde),protesters (cape verde),0,0,0,1
Former Government of Italy (2018-2022),former government of italy (2018-2022),0,0,1,0
SI: Italian Left,si: italian left,1,0,0,0
Greenpeace,greenpeace,1,0,0,0
Liberu,liberu,0,0,0,1
Jailbreak Network,jailbreak network,0,0,0,1
100% Animalisti,100% animalisti,1,0,0,0
Italexit,italexit,0,1,0,0
LAV: Anti-vivisection League,lav: anti-vivisection league,1,0,0,0
META: Ethical Movement for the Protection of Animals and the Environment,meta: ethical movement for the protection of animals and the environment,1,0,0,0
Consumers' Lawyers,consumers' lawyers,0,0,0,1
CISAL: Italian Confederation of Free Workers' Unions,cisal: italian confederation of free workers' unions,0,0,0,1
OPI: Self-employed Workers' Pride,opi: self-employed workers' pride,0,0,0,1
NR: We Remain,nr: we remain,0,0,0,1
Movement of Italian Enterprises,movement of italian enterprises,0,0,0,1
Riders Union,riders union,1,0,0,0
AU: University Action,au: university action,0,0,1,0
FederSpecializzandi,federspecializzandi,0,0,0,1
No Euro Movement,no euro movement,0,1,0,0
Magnitude Italy,magnitude italy,0,0,0,1
Bologna Migrants Network,bologna migrants network,1,0,0,0
SGB: General Base Union,sgb: general base union,1,0,0,0
UdC: Union of the Center,udc: union of the center,0,0,1,0
Let's Change,let's change,0,1,0,0
CNPS: National Network of Schools' Temporary Employees,cnps: national network of schools' temporary employees,0,0,0,1
No MUOS,no muos,0,0,0,1
Knowledge Network,knowledge network,0,0,0,1
