actor_clean,actor_clean_lower,left,right,centre,unknown
Arab Group (Germany),arab group (germany),0,0,0,1
National Resistance,national resistance,0,0,0,1
GJ: Green Youth (Germany),gj: green youth (germany),1,0,0,0
MLPD: Marxist-Leninist Party of Germany,mlpd: marxist-leninist party of germany,1,0,0,0
Kurdish Ethnic Group (Germany),kurdish ethnic group (germany),0,0,0,1
UID: Union of International Democrats,uid: union of international democrats,0,0,1,0
Yezidi Ethnic Group (Germany),yezidi ethnic group (germany),0,0,0,1
FVC: Women Association Courage,fvc: women association courage,1,0,0,0
RAH: Red Construction Hamburg,rah: red construction hamburg,0,0,0,1
Reich Citizens,reich citizens,0,1,0,0
Labor Group (France),labor group (france),0,0,0,1
IL: Interventionist Left,il: interventionist left,1,0,0,0
GEW: German Education Union,gew: german education union,1,0,0,0
Alliance Against the Right,alliance against the right,1,1,0,0
Rise Up,rise up,1,0,0,0
RH: Red Aid,rh: red aid,1,0,0,0
Jusos: Young Socialists in the SPD,jusos: young socialists in the spd,1,0,0,0
Caritas,caritas,1,0,0,0
Hizb ut-Tahrir,hizb ut-tahrir,0,0,0,1
Uyghur Ethnic Group (Germany),uyghur ethnic group (germany),0,0,0,1
Iranian Group (Germany),iranian group (germany),0,0,0,1
Journalists (Turkey),journalists (turkey),0,0,0,1
DFG-VK: The German Peace Community,dfg-vk: the german peace community,1,0,0,0
Campact,campact,1,0,0,0
Fossil Free,fossil free,1,0,0,0
KDW: Communication Point Democratic Resistance,kdw: communication point democratic resistance,1,0,0,0
Sea-Watch,sea-watch,1,0,0,0
Grannies Against the Right (Germany),grannies against the right (germany),0,1,0,0
Pro Chemnitz,pro chemnitz,0,1,0,0
PEGIDA: Patriotic Europeans Against the Islamisation of the Occident,pegida: patriotic europeans against the islamisation of the occident,0,1,0,0
Labor Group (Poland),labor group (poland),0,0,0,1
Students (Poland),students (poland),0,0,0,1
FUSS: Association for Pedestrian Traffic,fuss: association for pedestrian traffic,0,0,0,1
IBD: Identitarian Movement Germany,ibd: identitarian movement germany,0,1,0,0
Attac,attac,1,0,0,0
"IGBCE: Industrial Union for Mining, Chemistry and Energy","igbce: industrial union for mining, chemistry and energy",0,0,0,1
Environmental Union,environmental union,1,0,0,0
REBELL: Youth League Rebel,rebell: youth league rebel,1,0,0,0
The Third Path,the third path,0,1,0,0
SJ: Steeler Boys,sj: steeler boys,0,1,0,0
Alevi Muslim Group (Germany),alevi muslim group (germany),0,0,0,1
SDAJ: Socialist German Workers Youth,sdaj: socialist german workers youth,1,0,0,0
CDU: Christian Democratic Union of Germany,cdu: christian democratic union of germany,0,1,0,0
Health Workers (Poland),health workers (poland),0,0,0,1
Russian Group (Germany),russian group (germany),0,0,0,1
Thugida,thugida,0,1,0,0
