actor_clean,actor_clean_lower,left,right,centre,unknown
FFOC: Angry Wives of Law Enforcement Officers,ffoc: angry wives of law enforcement officers,0,1,0,0
ISNI: National Inter Union of Residents in Medicine,isni: national inter union of residents in medicine,0,0,0,1
Students (Serbia),students (serbia),0,0,0,1
OPRE: Organization of Catering Staff,opre: organization of catering staff,0,0,0,1
FFMC: French Federation of Angry Bikers,ffmc: french federation of angry bikers,0,0,0,1
MSF: Doctors Without Borders,msf: doctors without borders,1,0,0,0
PAZ: Paris Animals Zoopolis,paz: paris animals zoopolis,1,0,0,0
NVDC: We Want Poppies,nvdc: we want poppies,1,0,0,0
Judges (France),judges (france),0,0,0,1
Guinean Group (France),guinean group (france),0,0,0,1
Friends of the Earth,friends of the earth,1,0,0,0
Jewish Group (France),jewish group (france),0,0,0,1
STC: Union of Corsican Workers,stc: union of corsican workers,1,0,0,0
LR: The Republicans,lr: the republicans,0,1,0,0
CiF: Heart Forward,cif: heart forward,1,0,0,0
CL: Free Corsica,cl: free corsica,1,0,0,0
CP: Patriots Collective,cp: patriots collective,0,1,0,0
Former Government of France (2017-),former government of france (2017-),1,0,0,0
Maghrebi Group (France),maghrebi group (france),0,0,0,1
Moroccan Group (France),moroccan group (france),0,0,0,1
Generation.s,generation.s,1,0,0,0
Generation Identitaire,generation identitaire,0,1,0,0
LICRA: International League Against Racism and Antisemitism,licra: international league against racism and antisemitism,1,0,0,0
Turkish Group (France),turkish group (france),0,0,0,1
Kurdish Ethnic Group (Germany),kurdish ethnic group (germany),0,0,0,1
NT: Us All,nt: us all,0,0,0,1
Labor Group (International),labor group (international),0,0,0,1
GN: Black Vests,gn: black vests,1,0,0,0
CNNR: National Council of the New Resistance,cnnr: national council of the new resistance,0,1,0,0
FFF: Fridays for Future,fff: fridays for future,1,0,0,0
Civilians (France),civilians (france),0,0,0,1
CDR: Committees for the Defence of the Republic,cdr: committees for the defence of the republic,1,0,0,0
MODEF: Family Farmers Defense Movement,modef: family farmers defense movement,0,0,0,1
PS: Socialist Party (France),ps: socialist party (france),1,0,0,0
Migrants (International),migrants (international),0,0,0,1
Women (International),women (international),0,0,0,1
Protesters (Kosovo),protesters (kosovo),0,0,0,1
Refugees/IDPs (Kosovo),refugees/idps (kosovo),0,0,0,1
Protesters (Cameroon),protesters (cameroon),0,0,0,1
Refugees/IDPs (Cameroon),refugees/idps (cameroon),0,0,0,1
Students (Cameroon),students (cameroon),0,0,0,1
Protesters (Sudan),protesters (sudan),0,0,0,1
Refugees/IDPs (Sudan),refugees/idps (sudan),0,0,0,1
AFPS: France-Palestine Solidarity Association,afps: france-palestine solidarity association,1,0,0,0
RSF: Reporters Without Borders,rsf: reporters without borders,1,0,0,0
FGR-FP: General Federation of Retired Civil Servants (Reunion),fgr-fp: general federation of retired civil servants (reunion),0,0,0,1
JA: Young Farmers,ja: young farmers,0,1,0,0
CNPA: National Automotive Professions Council,cnpa: national automotive professions council,0,0,0,1
GL: Free Youth,gl: free youth,0,0,0,1
LAB: Patriotic Workers' Commissions,lab: patriotic workers' commissions,1,0,0,0
FNLP: National Federation for Free Thought,fnlp: national federation for free thought,0,0,0,1
MDM: Doctors of the World,mdm: doctors of the world,1,0,0,0
Greek Group (France),greek group (france),0,0,0,1
Protesters (Democratic Republic of Congo),protesters (democratic republic of congo),0,0,0,1
Refugees/IDPs (Democratic Republic of Congo),refugees/idps (democratic republic of congo),0,0,0,1
Labor Group (Gambia),labor group (gambia),0,0,0,1
Labor Group (Nigeria),labor group (nigeria),0,0,0,1
Protesters (Gambia),protesters (gambia),0,0,0,1
Protesters (Nigeria),protesters (nigeria),0,0,0,1
Refugees/IDPs (Gambia),refugees/idps (gambia),0,0,0,1
Refugees/IDPs (Nigeria),refugees/idps (nigeria),0,0,0,1
GP: Paolina Youth,gp: paolina youth,1,0,0,0
GI: Independentist Youth,gi: independentist youth,0,1,0,0
CR: Rural Coordination,cr: rural coordination,0,1,0,0
SNJ: National Union of Journalists (France),snj: national union of journalists (france),1,0,0,0
FV: Volunteer Reapers,fv: volunteer reapers,0,0,0,1
PG: The Left Party,pg: the left party,1,0,0,0
Former Military Forces of France (2017-),former military forces of france (2017-),0,0,0,1
FFN: French Federation of Naturism,ffn: french federation of naturism,0,0,0,1
LREM: The Republic On The Move,lrem: the republic on the move,0,0,1,0
One Voice,one voice,1,0,0,0
Students (International),students (international),0,0,0,1
LP: The Patriots,lp: the patriots,0,1,0,0
SDN: Nuclear Phase-Out,sdn: nuclear phase-out,0,0,0,1
LSR: Leisure and Solidarity for Retirees,lsr: leisure and solidarity for retirees,0,0,0,1
UNRPA: National Union of Retirees and Seniors,unrpa: national union of retirees and seniors,1,0,0,0
CARE International (International),care international (international),1,0,0,0
FAGE: Federation of General Student Associations,fage: federation of general student associations,1,0,0,0
Oxfam,oxfam,1,0,0,0
GE: Ecology Generation,ge: ecology generation,1,0,0,0
AS: Solidarity Association,as: solidarity association,0,0,0,1
MP: Farmers' Movement,mp: farmers' movement,0,0,0,1
Migrants (Afghanistan),migrants (afghanistan),0,0,0,1
Protesters (Afghanistan),protesters (afghanistan),0,0,0,1
Uyghur Ethnic Group (France),uyghur ethnic group (france),0,0,0,1
Men (France),men (france),0,0,0,1
PETA: People for the Ethical Treatment of Animals,peta: people for the ethical treatment of animals,1,0,0,0
